Szó,Szófajok
egykapus,melléknév
egykarú,melléknév
egyke,főnév
egykedvű,melléknév
egyként,határozószó
egyképpen,határozószó
egykerendszer,főnév
egyketted,főnév
egykettőre,határozószó
egykéz,ige|főnév
egykézik,ige
egykor,határozószó
egykorig,határozószó
egykorú,melléknév
egykönnyen,határozószó
egykutya,főnév
egylábú,melléknév
egylaki,főnév|melléknév
egylet,főnév
egyletesdi,főnév
egylovas,főnév|melléknév
egymaga,névmás
egymás,névmás
egy-más,névmás
egymásután,főnév
egynapi,melléknév
egynapos,melléknév
egynéhány,névmás
egynejűség,főnév
egynémely,névmás
egynémelykor,határozószó
egynemű,melléknév
egynyári,melléknév
egynyelvű,melléknév
egyoldalú,melléknév
egyórás,főnév|melléknév
egyöntetű,melléknév
egypártrendszer,főnév
egypatás,főnév
egypúpú,melléknév
egyre,határozószó
egyre-másra,határozószó
egyrészről,határozószó
egyrészt,határozószó
egyrétű,melléknév
egység,főnév
egységár,főnév
egységbontó,főnév|melléknév
egységes,melléknév
egységesedik,ige
egységesít,ige
egységfront,főnév
egységnyi,melléknév
egységszervezet,főnév
egysejtű,főnév|melléknév
egysíkú,melléknév
egysoros,melléknév
egyszakaszos,melléknév
egyszakos,főnév|melléknév
egyszámla,főnév
egyszarvú,főnév|melléknév
egyszemélyes,melléknév
egyszemélyi,melléknév
egyszer,határozószó
egyszeregy,főnév
egyszer-egyszer,határozószó
egyszeres,melléknév
egyszeri,melléknév
egyszeriben,határozószó
egyszerre,határozószó
egyszersmind,határozószó|kötőszó
egyszerű,főnév|melléknév
egyszerűség,főnév
egyszerűsít,ige
egyszerűsödik,ige
egyszikű,főnév|melléknév
egyszínű,melléknév
egyszoba-konyhás,melléknév
egyszobás,melléknév
egyszólamú,melléknév
egyszóval,határozószó
egyszülött,főnév|melléknév
egytagú,melléknév
egytálétel,főnév
egytestvér,főnév
egyugyanazon,névmás
egyujjas,melléknév
egyúttal,határozószó
együgyű,főnév|melléknév
együléses,melléknév
együtt,határozószó|igekötő
együttélés,főnév
együttérzés,főnév
együttes,főnév|melléknév
együttható,főnév
együttjár,ige
együttlakás,főnév
együttlét,főnév
együttműködés,főnév
együttműködik,ige
együttnevelés,főnév
együttvéve,határozószó
együvé,határozószó
egyvágányú,melléknév
egyvégben,határozószó
egyvégtében,határozószó
egyveleg,főnév
egyvér,főnév
egyvonalas,melléknév
eh,indulatszó
éh,főnév|melléknév
éhbér,főnév
ehejt,határozószó
ehelyett,határozószó
éhen,határozószó
éhenkórász,főnév|melléknév
éhen-szomjan,határozószó
éhes,főnév|melléknév
ehetetlen,melléknév
ehetnék,főnév
ehető,melléknév
éhezés,főnév
éhezik,ige
éhező,főnév|melléknév
éheztet,ige
éheztetés,főnév
éhgyomor,főnév
éhhalál,főnév
ehhez,névmás
éhínség,főnév
éhkopp,főnév
ehol,határozószó
éhomra,határozószó
éhség,főnév
éhségsztrájk,főnév
éhségtüntetés,főnév
éhszomj,főnév
ehun,határozószó
ej,indulatszó
éj,főnév
éjente,határozószó
éjfél,főnév
éjféltájban,határozószó
éjféltájt,határozószó
ejh,indulatszó
ejha,indulatszó
ej-haj,indulatszó
ej-huj,indulatszó
éji,melléknév
éjjel,főnév|határozószó
éjjeledik,ige
éjjelenként,határozószó
éjjeles,főnév|melléknév
éjjelez,ige
éjjeli,főnév|melléknév
éjjeliőr,főnév
éjjeliszekrény,főnév
éjjelizene,főnév
éjjel-nappal,határozószó
éjnapegyenlőség,főnév
ejnye,indulatszó
éjsötét,főnév|melléknév
éjszak,főnév
éjszaka,főnév|határozószó
éjszakás,főnév|melléknév
éjszakázik,ige
ejt,ige
ejteget,ige
ejtés,főnév
ejtőernyő,főnév
ejtőernyős,főnév|melléknév
ejtőgép,főnév
ejtőzik,ige
ék,főnév
ekcéma,főnév
ékcsont,főnév
eke,főnév
ekefej,főnév
ekegerendely,főnév
ékel,ige
ékelődik,ige
ékes,melléknév
ékesít,ige
ékeskedik,ige
ékesség,főnév
ékesszólás,főnév
ékesszóló,melléknév
ekeszarv,főnév
eketaliga,főnév
eketalp,főnév
ekevas,főnév
ékez,ige
ékezés,főnév
ékezet,főnév
ekhó,főnév
ekhós,melléknév
ékírás,főnév
ékirat,főnév
ékiratos,melléknév
ékít,ige
ékítmény,főnév
ekként,határozószó
ekképpen,határozószó
ekkor,határozószó
ekkora,névmás
ekkorában,határozószó
ekkorára,határozószó
ekkori,névmás
ekkoriban,határozószó
ekkorka,névmás
ekkoron,határozószó
ekkortájban,határozószó
ekkortájt,határozószó
ékkő,főnév
eklatáns,melléknév
eklekticizmus,főnév
eklektikus,főnév|melléknév
eklézsia,főnév
eklézsiakövetés,főnév
ekloga,főnév
eköré,határozószó
ekörül,határozószó
eközben,határozószó
ékpárna,főnév
ekrazit,főnév
eksz,főnév|mondatszó
ékszer,főnév
ékszerész,főnév
eksztázis,főnév
éktelen,melléknév|határozószó
éktelenkedik,ige
ekvátor,főnév
ékverés,főnév
ekvilibrista,főnév
ekvipázs,főnév
ekvivalens,főnév|melléknév
el,határozószó|igekötő
él,ige|főnév
elaborátum,főnév
elábrándozik,ige
elácsorog,ige
elad,ige
eladás,főnév
eladatlan,melléknév
eladdig,határozószó
eladhatatlan,melléknév
eladó,főnév|melléknév
eladogat,ige
eladólány,főnév
eladósodik,ige
elágazás,főnév
elágazik,ige
elaggott,melléknév
elagyabugyál,ige
elajándékoz,ige
elájul,ige
elakad,ige
elakaszt,ige
elalél,ige
elaljasodik,ige
eláll,ige
elállatiasít,ige
elállatiasodik,ige
elálldogál,ige
elállít,ige
elálló,melléknév
elálmélkodik,ige
elálmodozik,ige
elálmosít,ige
elálmosodik,ige
elalszik,ige
elaltat,ige
elalvás,főnév
elámít,ige
elámul,ige
elandalít,ige
elandalodik,ige
elanyátlanodik,ige
elannyira,határozószó
elapad,ige
elapaszt,ige
eláporodik,ige
elaprít,ige
elapróz,ige
elaprózódik,ige
elárad,ige
eláraszt,ige
elárul,ige
elárusít,ige
elárusító,főnév|melléknév
elárusítónő,főnév
elárverez,ige
elárvereztet,ige
elárvul,ige
elás,ige
elaszik,ige
elasszonyosodik,ige
elasztikus,melléknév
elátkoz,ige
elavul,ige
elavult,melléknév
elázik,ige
eláztat,ige
elbabrál,ige
elbágyad,ige
elbágyaszt,ige
elbájol,ige
elballag,ige
elbámészkodik,ige
elbámul,ige
elbánás,főnév
elbánik,ige
elbarikádoz,ige
elbátortalanít,ige
elbátortalanodik,ige
elbeszél,ige
elbeszélés,főnév
elbeszélget,ige
elbeszélő,főnév|melléknév
elbetegesedik,ige
elbetegeskedik,ige
elbíbelődik,ige
elbiggyeszt,ige
elbír,ige
elbírál,ige
elbírálás,főnév
elbirtoklás,főnév
elbirtokol,ige
elbitangol,ige
elbizakodik,ige
elbizakodott,melléknév
elbliccel,ige
elbóbiskol,ige
elbocsát,ige
elbocsátás,főnév
elbocsáttatás,főnév
elbódít,ige
elbódul,ige
elbolondít,ige
elbomlik,ige
elbont,ige
elborít,ige
elborozgat,ige
elborul,ige
elborzad,ige
elborzaszt,ige
elbotlik,ige
elbődül,ige
elbőg,ige
elbúcsúzik,ige
elbúcsúztat,ige
elbujdosik,ige
elbújik,ige
elbújtat,ige
elbukik,ige
elbuktat,ige
elburjánzik,ige
elbúsul,ige
elbutít,ige
elbutul,ige
elbürokratizálódik,ige
elbűvöl,ige
elbűvölő,melléknév
élc,főnév
élcelődik,ige
elcímez,ige
elcipel,ige
élclap,főnév
elcsábít,ige
elcsábul,ige
elcsakliz,ige
elcsal,ige
elcsap,ige
élcsapat,főnév
elcsatol,ige
elcsattan,ige
elcsavar,ige
elcsavarodik,ige
elcsavarog,ige
elcsehesít,ige
elcsemegézik,ige
elcsen,ige
elcsendesedik,ige
elcsendesít,ige
elcsendesül,ige
elcsenevészedik,ige
elcsepeg,ige
elcsépel,ige
elcsépelt,melléknév
elcseppen,ige
elcseppent,ige
elcsereberél,ige
elcserél,ige
elcsesz,ige
elcsetten,ige
elcseveg,ige
elcsigáz,ige
elcsigázott,melléknév
elcsinál,ige
elcsíp,ige
elcsitít,ige
elcsitul,ige
elcsízel,ige
elcsodálkozik,ige
elcsomagol,ige
élcsoport,főnév
elcsór,ige
elcsorog,ige
elcsoszog,ige
elcsökevényesedik,ige
elcsúfít,ige
elcsuk,ige
elcsuklik,ige
elcsúnyít,ige
elcsúnyul,ige
elcsúszás,főnév
elcsúszik,ige
elcsügged,ige
elcsüggeszt,ige
eldadog,ige
eldalol,ige
eldarabol,ige
eldarál,ige
éldegél,ige
éldel,ige
eldicsekedik,ige
eldob,ige
eldobál,ige
eldolgoz,ige
eldolgozgat,ige
eldolgozik,ige
eldologiasítás,főnév
eldorádó,főnév
eldöcög,ige
eldőd,főnév
eldöglik,ige
eldől,ige
eldönget,ige
eldönt,ige
eldöntetlen,melléknév
eldördül,ige
eldörzsöl,ige
eldúdol,ige
eldug,ige
eldugaszol,ige
eldugott,melléknév
eldugul,ige
eldurran,ige
eldurvul,ige
elé,határozószó|névutó|igekötő
eléállít,ige
elébb,határozószó
elébe,határozószó|névutó
eleblábol,ige
éled,ige
eleddig,határozószó
eledel,főnév
éledezik,ige
elefánt,főnév
elefántcsont,főnév
elég,ige|főnév|melléknév|határozószó
elegancia,főnév
elegáns,melléknév
elégedetlen,főnév|melléknév
elégedetlenkedik,ige
elégedetlenség,főnév
elégedett,melléknév
elégel,ige
elegendő,melléknév
eléget,ige
eléggé,határozószó
elégia,főnév
elégikus,főnév|melléknév
elégség,főnév
elégséges,főnév|melléknév
elégszer,határozószó
elégtelen,főnév|melléknév
elégtétel,főnév
elégtételadás,főnév
elégületlen,főnév|melléknév
elegy,főnév|melléknév
elegybelegy,főnév|melléknév
elegyedik,ige
elegyenget,ige
elegyengetés,főnév
elegyes,melléknév
elegyít,ige
elegysúly,főnév
elegyül,ige
elei,főnév
eleibe,határozószó|névutó
eleinte,határozószó
eleintén,határozószó
elejbe,határozószó|névutó
eleje,főnév
eléje,határozószó|névutó
elejt,ige
elejtett,melléknév
eléktelenít,ige
elektor,főnév
elektrifikál,ige
elektród,főnév
elektrodinamika,főnév
elektrokardiográf,főnév
elektrokémia,főnév
elektrolízis,főnév
elektromágnes,főnév
elektromérnök,főnév
elektromos,melléknév
elektromosság,főnév
elektromotor,főnév
elektron,főnév
elektroncső,főnév
elektrotechnika,főnév
elektrotechnikus,főnév
elél,ige
eléldegél,ige
élelem,főnév
élelemtár,főnév
élelmes,melléknév
élelmez,ige
élelmezés,főnév
élelmezési,melléknév
élelmezéstudomány,főnév
élelmi,melléknév
élelmiszer,főnév
élelmiszeradag,főnév
élelmiszer-felhozatal,főnév
élelmiszerhiány,főnév
élelmiszeripar,főnév
élelmiszerjegy,főnév
élelmiszerkészlet,főnév
élelmiszer-korlátozás,főnév
élelmiszer-uzsora,főnév
élelmiszerüzlet,főnév
elélvez,ige
elem,főnév
élemedett,melléknév
elemel,ige
elementáris,melléknév
elemészt,ige
elemez,ige
elemezés,főnév
elemi,főnév|melléknév
elemista,főnév|melléknév
elemleget,ige
elemózsia,főnév
elemzés,főnév
elénekel,ige
elenged,ige
elengedhetetlen,melléknév
élenjáró,főnév|melléknév
élénk,melléknév
élénkít,ige
élénkség,főnév
élénkül,ige
éleny,főnév
elenyészik,ige
elenyésző,melléknév
eleped,ige
elér,ige
elered,ige
elereszt,ige
elérhetetlen,főnév|melléknév
elérik,ige
elérkezik,ige
elernyed,ige
elernyeszt,ige
elerőtlenedik,ige
elerőtlenít,ige
elért,ige
elértéktelenedik,ige
elérzékenyedik,ige
elérzékenyít,ige
elérzékenyül,ige
éles,főnév|melléknév
élés,főnév
élesedik,ige
eleség,főnév
elesés,főnév
elesett,főnév|melléknév
elesettség,főnév
elesik,ige
élesít,ige
éléskamra,főnév
élésláda,főnév
éleslátás,főnév
éleslövészet,főnév
élesség,főnév
éléstár,főnév
eleste,főnév
elesteledik,ige
eleszik,ige
éleszt,ige
élesztés,főnév
élesztget,ige
élesztő,főnév|melléknév
élesztőgomba,főnév
élesztős,melléknév
élet,főnév
életadó,főnév|melléknév
életbelépés,főnév
életbevágó,melléknév
életbiztosítás,főnév
életbölcsesség,főnév
életcél,főnév
életelem,főnév
életelv,főnév
életerő,főnév
életerős,melléknév
életérzés,főnév
életév,főnév
életfa,főnév
életfelfogás,főnév
életfeltétel,főnév
életfenntartás,főnév
életfilozófia,főnév
életfogytig,határozószó
életfogytiglan,határozószó
életfogytiglani,melléknév
életfolyamat,főnév
életforma,főnév
élethalálharc,főnév
élethivatás,főnév
élethosszig,határozószó
élethossziglan,határozószó
élethossziglani,melléknév
élethű,melléknév
életigenlés,főnév
életigény,főnév
életírás,főnév
életíró,főnév
életismeret,főnév
életjáradék,főnév
életjel,főnév
életjelenség,főnév
életkedv,főnév
életkép,főnév
életképes,melléknév
életképtelen,melléknév
életkérdés,főnév
életkor,főnév
életkörülmény,főnév
életközösség,főnév
életlehetőség,főnév
életleírás,főnév
életlen,melléknév
életmegnyilvánulás,főnév
életmentő,főnév|melléknév
életmód,főnév
életmű,főnév
életműködés,főnév
életművész,főnév
életnagyság,főnév
életnagyságú,melléknév
életnedv,főnév
életöröm,főnév
életösztön,főnév
életpálya,főnév
életrajz,főnév
életrajzíró,főnév
életrend,főnév
életrevaló,melléknév
életszabály,főnév
életszak,főnév
életszemlélet,főnév
életszentség,főnév
életszínvonal,főnév
életszükséglet,főnév
élettan,főnév
élettapasztalat,főnév
élettárs,főnév
élettartam,főnév
élettelen,melléknév
életteli,melléknév
élettér,főnév
élettevékenység,főnév
élettörténet,főnév
életunalom,főnév
életunt,főnév|melléknév
életút,főnév
életvágy,főnév
életvegytan,főnév
életveszedelem,főnév
életveszély,főnév
életvidám,melléknév
életviszonyok,főnév
elevátor,főnév
eleve,határozószó
eleven,főnév|melléknév
elevenség,főnév
elevenszülő,főnév|melléknév
elevez,ige
elévül,ige
elévülés,főnév
elévülhetetlen,melléknév
elévült,melléknév
élez,ige
elfacsarít,ige
elfacsarodik,ige
elfagy,ige
elfajul,ige
elfajzik,ige
elfakad,ige
elfakul,ige
elfalaz,ige
elfárad,ige
elfarag,ige
elfásodik,ige
elfásul,ige
elfecseg,ige
elfecsérel,ige
elfed,ige
elfehéredik,ige
elfejt,ige
elfeketedik,ige
elfeketéz,ige
elfeketézik,ige
elfeketül,ige
elfekszik,ige
elfektet,ige
elfelé,határozószó
elfeled,ige
elfeledkezik,ige
elfelejt,ige
elfelejtkezik,ige
elfelejtődik,ige
elfelez,ige
elfelhősödik,ige
elfen,ige
elfenekel,ige
elfér,ige
elferdít,ige
elferdül,ige
elfeslik,ige
elfest,ige
elfésül,ige
elfintorít,ige
elfog,ige
elfogad,ige
elfogadható,melléknév
elfogadó,főnév|melléknév
elfogadott,melléknév
elfogadvány,főnév
elfogat,ige
elfogató,melléknév
elfoglal,ige
elfoglalt,melléknév
elfoglaltság,főnév
elfogódik,ige
elfogódott,melléknév
elfogulatlan,melléknév
elfogult,melléknév
elfogultság,főnév
elfogy,ige
elfogyaszt,ige
elfojt,ige
elfolyik,ige
elfonnyad,ige
elfordít,ige
elfordul,ige
elforgácsol,ige
elforgácsolódik,ige
elforgat,ige
elforog,ige
elforr,ige
elfoszlik,ige
elfő,ige
elföldel,ige
elfőz,ige
elfúj,ige
elfúl,ige
elfullad,ige
elfuserál,ige
elfut,ige
elfuvaroz,ige
elfüggönyöz,ige
elfűrészel,ige
elfüstöl,ige
elfüstölög,ige
elfütyül,ige
elgagyog,ige
elgáncsol,ige
élgárda,főnév
elgázol,ige
elgázosít,ige
elgazosodik,ige
elgémberedik,ige
elgennyed,ige
elgennyesedik,ige
elgépiesít,ige
elgereblyél,ige
elgereblyéz,ige
elgondol,ige
elgondolás,főnév
elgondolkodik,ige
elgondolkodtató,melléknév
elgondolkozik,ige
elgondolkoztató,melléknév
elgörbít,ige
elgörbül,ige
elgördít,ige
elgőzölög,ige
elgurít,ige
elgurul,ige
elgyalogol,ige
elgyengít,ige
elgyengül,ige
elgyomosodik,ige
elgyötör,ige
elgyűrűz,ige
elhabzsol,ige
elhadar,ige
elhagy,ige
elhagyás,főnév
elhagyatott,melléknév
elhagyott,melléknév
elhájasodik,ige
elhajít,ige
elhajlás,főnév
elhajlik,ige
elhajló,főnév|melléknév
elhajol,ige
elhajóz,ige
elhajózik,ige
elhajt,ige
elhajtat,ige
elhal,ige
elhál,ige
él-hal,ige
elhalad,ige
elhalálozik,ige
elhalás,főnév
elhalászik,ige
elhalaszt,ige
elhalkul,ige
elhallatszik,ige
elhallgat,ige
elhallgattat,ige
elhallik,ige
elhalmoz,ige
elhalványodik,ige
elhalványul,ige
elhamarkodik,ige
elhamvad,ige
elhamvaszt,ige
elhangol,ige
elhangzik,ige
elhantol,ige
elhány,ige
elhanyagol,ige
elhanyagolható,melléknév
elhanyagolt,melléknév
elhanyatlik,ige
elhányódik,ige
elharácsol,ige
elharangoz,ige
elharap,ige
elharapódzik,ige
élharcos,főnév
elhárít,ige
elhárítás,főnév
elhárul,ige
elhasad,ige
elhasal,ige
elhasít,ige
elhasonul,ige
elhasznál,ige
elhasználódik,ige
elhat,ige
elhatalmasodik,ige
elhatárol,ige
elhatároz,ige
elhatározás,főnév
elhatározó,melléknév
elhegedül,ige
elhelyez,ige
elhelyezés,főnév
elhelyezkedés,főnév
elhelyezkedik,ige
elhengerít,ige
elherdál,ige
elhervad,ige
elhervaszt,ige
elhesseget,ige
élhetetlen,főnév|melléknév
elhever,ige
elhibáz,ige
elhibázott,melléknév
elhidegedik,ige
elhidegül,ige
elhint,ige
elhíresedik,ige
elhíresztel,ige
elhirtelenkedik,ige
elhisz,ige
elhitet,ige
elhív,ige
elhivatottság,főnév
elhízik,ige
elhódít,ige
elhomályosít,ige
elhomályosodik,ige
elhomályosul,ige
elhord,ige
elhordoz,ige
elhoz,ige
elhozat,ige
elhull,ige
elhullat,ige
elhuny,ige
elhunyt,főnév|melléknév
elhunyta,főnév
elhurcol,ige
elhurcolkodik,ige
elhusángol,ige
elhúz,ige
elhúzat,ige
elhúzódik,ige
elhűl,ige
elhülyül,ige
elibe,határozószó|névutó
eliddogál,ige
elidegenedik,ige
elidegenít,ige
elidegenítés,főnév
elidegenül,ige
elidőzik,ige
elig,határozószó
eligazgat,ige
eligazít,ige
eligazítás,főnév
eligazodik,ige
elig-elig,határozószó
elígér,ige
elígérkezik,ige
elijed,ige
elijeszt,ige
elillan,ige
elimádkozik,ige
eliminál,ige
elinal,ige
elindít,ige
elindul,ige
elintéz,ige
elintézés,főnév
elintéződik,ige
elír,ige
eliramlik,ige
eliramodik,ige
elírás,főnév
elirt,ige
elirtózik,ige
elismer,ige
elismerés,főnév
elismerő,melléknév
elismert,melléknév
elismertet,ige
elismervény,főnév
elismétel,ige
eliszákosodik,ige
eliszaposodik,ige
eliszik,ige
eliszkol,ige
eliszogat,ige
eliszonyodik,ige
elit,főnév|melléknév
elítél,ige
elítélés,főnév
elítélő,melléknév
elítélt,főnév|melléknév
elixír,főnév
eljár,ige
eljárás,főnév
eljátszik,ige
eljegesedés,főnév
eljegesedik,ige
eljegyez,ige
eljegyzés,főnév
éljen,főnév|indulatszó
éljenez,ige
éljenzés,főnév
eljön,ige
eljövendő,melléknév
eljut,ige
eljuttat,ige
elkábít,ige
elkábul,ige
elkacag,ige
elkalandozik,ige
elkallódik,ige
elkámpicsorodik,ige
elkampóz,ige
elkanászodik,ige
elkanászosodik,ige
elkanyarít,ige
elkanyarodik,ige
elkap,ige
elkapál,ige
elkapar,ige
elkaparint,ige
elkapat,ige
elkapatott,melléknév
elkapkod,ige
elkápráztat,ige
elkárhozik,ige
elkáromkodik,ige
elkarsztosodik,ige
elkártyáz,ige
elkedvetlenedik,ige
elkedvetlenít,ige
elkékül,ige
elkel,ige
elken,ige
elkendőz,ige
elkenődik,ige
elkényesedik,ige
elkényesül,ige
elkényeztet,ige
elképed,ige
elképeszt,ige
elképesztő,melléknév
elképzel,ige
elképzelés,főnév
elkér,ige
elkérdez,ige
elkéredzkedik,ige
elkeresztel,ige
elkérgesedik,ige
elkerget,ige
elkerít,ige
elkerül,ige
elkerülhetetlen,főnév|melléknév
elkeseredés,főnév
elkeseredett,melléknév
elkeseredik,ige
elkeserít,ige
elkésik,ige
elkészít,ige
elkészül,ige
elkever,ige
elkeveredik,ige
elkezd,ige
elkezdődik,ige
elkezel,ige
elkiabál,ige
elkiált,ige
elkínlódik,ige
elkínzott,melléknév
elkísér,ige
elkíván,ige
elkívánkozik,ige
elkóborog,ige
elkóborol,ige
elkoboz,ige
elkobzás,főnév
elkoldul,ige
elkomolyodik,ige
elkomorodik,ige
elkomorul,ige
elkopik,ige
elkoptat,ige
elkorcsosodik,ige
elkorcsosul,ige
elkorhad,ige
elkorhaszt,ige
elkormányoz,ige
elkormozódik,ige
elkotródik,ige
elkótyavetyél,ige
elkotyog,ige
elködösít,ige
elkölt,ige
elköltözik,ige
elköltözködik,ige
elkönyvel,ige
elköszön,ige
elköt,ige
elkötelez,ige
elkövet,ige
elkövetkezik,ige
elkövetkező,melléknév
elközeleg,ige
elkunyorál,ige
elkurjant,ige
elküld,ige
elküldözget,ige
elkülönít,ige
elkülönítés,főnév
elkülönül,ige
ell,ige|főnév
ellábol,ige
ellágyít,ige
ellágyul,ige
ellakik,ige
ellángol,ige
ellankad,ige
ellankaszt,ige
ellanyhul,ige
ellapít,ige
ellaposít,ige
ellaposodik,ige
ellapul,ige
ellát,ige
ellátás,főnév
ellátatlan,főnév|melléknév
ellátmány,főnév
ellátogat,ige
ellátott,főnév|melléknév
ellátszik,ige
ellazsnakol,ige
ellebben,ige
ellebbent,ige
ellebeg,ige
ellejt,ige
ellen,névutó|főnév
ellenajánlat,főnév
ellenakció,főnév
ellenáll,ige
ellenállás,főnév
ellenállhatatlan,melléknév
ellenálló,főnév|melléknév
ellenállóképes,melléknév
ellenanya,főnév
ellenanyag,főnév
ellenben,határozószó|kötőszó
ellenbizonyítás,főnév
ellenbizonyíték,főnév
ellencsel,főnév
ellendarab,főnév
ellene,határozószó|névutó
ellenébe,határozószó|névutó
ellenében,határozószó|névutó
ellenére,határozószó|névutó
ellenérték,főnév
ellenérv,főnév
ellenérzés,főnév
ellenes,főnév|melléknév
ellenesetben,határozószó
ellenez,ige
ellenfél,főnév
ellenforradalmár,főnév
ellenforradalmi,melléknév
ellenforradalom,főnév
ellengőz,főnév
ellenhad,főnév
ellenhatás,főnév
elleni,melléknév
ellenindítvány,főnév
ellenintézkedés,főnév
ellenirány,főnév
ellenirat,főnév
ellenjavallat,főnév
ellenjavaslat,főnév
ellenjegyez,ige
ellenjelölt,főnév
ellenkezés,főnév
ellenkezik,ige
ellenkező,főnév|melléknév
ellenkirály,főnév
ellenkormány,főnév
ellenlábas,főnév|melléknév
ellenlépés,főnév
ellenméreg,főnév
ellenmond,ige
ellennyugta,főnév
ellenőr,főnév
ellenőriz,ige
ellenőrködik,ige
ellenőrzés,főnév
ellenőrző,főnév|melléknév
ellenpápa,főnév
ellenpár,főnév
ellenpárt,főnév
ellenpont,főnév
ellenpróba,főnév
ellenreformáció,főnév
ellenség,főnév
ellenséges,melléknév
ellenségeskedés,főnév
ellenségeskedik,ige
ellensúly,főnév
ellensúlyoz,ige
ellenszámla,főnév
ellenszegül,ige
ellenszél,főnév
ellenszenv,főnév
ellenszenves,melléknév
ellenszer,főnév
ellenszolgáltatás,főnév
ellentábor,főnév
ellentámadás,főnév
ellentengernagy,főnév
ellentét,főnév
ellentétel,főnév
ellentétes,melléknév
ellentmond,ige
ellentmondás,főnév
ellentmondásos,melléknév
ellentüntetés,főnév
ellenvád,főnév
ellenvélemény,főnév
ellenversszak,főnév
ellenvet,ige
ellenvetés,főnév
ellenvonat,főnév
ellenzék,főnév
ellenzéki,főnév|melléknév
ellenzékieskedik,ige
ellenzés,főnév
ellenző,főnév|melléknév
ellep,ige
ellép,ige
elleplez,ige
elles,ige
ellés,főnév
ellik,ige
ellipszis,főnév
elliptikus,melléknév
ellobban,ige
ellódít,ige
ellódul,ige
ellóg,ige
ellomhul,ige
ellop,ige
ellovagol,ige
éllovas,főnév
ellő,ige
ellök,ige
ellövöldöz,ige
ellustít,ige
ellustul,ige
elmacskásodik,ige
elmagyaráz,ige
elmagyarosít,ige
elmagyarosodik,ige
elmakacsol,ige
elmállaszt,ige
elmállik,ige
elmar,ige
elmarad,ige
elmaradhatatlan,melléknév
elmaradott,melléknév
elmaradottság,főnév
elmaradoz,ige
elmaradt,főnév|melléknév
elmarasztal,ige
elmázol,ige
elme,főnév
elmeállapot,főnév
elmebaj,főnév
elmebajos,főnév|melléknév
elmebeli,melléknév
elmebeteg,főnév|melléknév
elmeél,főnév
elmefuttatás,főnév
elmegy,ige
elmegyengeség,főnév
elmegyógyász,főnév
elmegyógyászat,főnév
elmegyógyintézet,főnév
elmeháborodott,főnév|melléknév
elmekórtan,főnév
elméláz,ige
elmélet,főnév
elméleti,melléknév
elmélkedés,főnév
elmélkedik,ige
elmellőz,ige
elmélyed,ige
elmélyít,ige
elmélyül,ige
elmemozdító,melléknév
elménckedik,ige
elmenekül,ige
elmenet,főnév|határozószó
elmenetel,főnév
élmény,főnév
elmeorvos,főnév
elmér,ige
elmered,ige
elmereng,ige
elmereszt,ige
elmerevedik,ige
elmérgesedik,ige
elmérgesít,ige
elmerül,ige
elmés,melléknév
elmesél,ige
elméskedik,ige
elmésség,főnév
elmeszesedés,főnév
elmeszesedik,ige
elmeszülemény,főnév
elmetél,ige
elmetsz,ige
elmezavar,főnév
elmond,ige
elmondhatatlan,melléknév
elmondható,melléknév
elmorzsál,ige
elmorzsol,ige
elmos,ige
elmosódik,ige
elmosogat,ige
elmosolyodik,ige
elmozdít,ige
elmozdul,ige
elmúlás,főnév
elmulaszt,ige
elmulat,ige
elmúlik,ige
elmúlt,főnév|melléknév
elmúlta,főnév
elmunkál,ige
élmunkás,főnév
élmunkásház,főnév
élmunkás-kitüntetés,főnév
elnadrágol,ige
elnagyol,ige
elnapol,ige
elnáspángol,ige
elnehezedik,ige
elnehezül,ige
elnémetesedik,ige
elnémetesít,ige
elnémít,ige
elnémul,ige
elnemzetietlenít,ige
elnéptelenedik,ige
elnéptelenít,ige
elnevel,ige
elnevet,ige
elnevez,ige
elnevezés,főnév
elnéz,ige
elnézeget,ige
elnézés,főnév
elnéző,melléknév
elnök,főnév
elnökhelyettes,főnév
elnöki,melléknév
elnöklés,főnév
elnöklet,főnév
elnököl,ige
elnökség,főnév
elnyargal,ige
elnyel,ige
elnyer,ige
elnyílik,ige
elnyom,ige
elnyomás,főnév
elnyomatás,főnév
elnyomó,főnév|melléknév
elnyomorít,ige
elnyomorodás,főnév
elnyomorodik,ige
elnyomorog,ige
elnyomott,főnév|melléknév
elnyög,ige
elnyugszik,ige
elnyújt,ige
elnyújtózik,ige
elnyújtózkodik,ige
elnyúlik,ige
elnyű,ige
elnyűtt,melléknév
elodáz,ige
elokvencia,főnév
elold,ige
eloldalog,ige
eloldoz,ige
elolt,ige
elolvad,ige
elolvas,ige
elolvaszt,ige
elomlik,ige
elordít,ige
eloroszosít,ige
eloroszosodik,ige
eloroz,ige
eloson,ige
eloszlat,ige
eloszlik,ige
eloszt,ige
elosztó,főnév|melléknév
elő,főnév|határozószó|igekötő
élő,főnév|melléknév
előad,ige
előadás,főnév
előadó,főnév|melléknév
előadódik,ige
előadóművész,főnév
előáll,ige
előállít,ige
előállítás,főnév
előás,ige
előbb,határozószó
előbbi,főnév|melléknév
előbb-utóbb,határozószó
előbeszéd,főnév
élőbeszéd,főnév
előbőr,főnév
előbújik,ige
előbukkan,ige
előcsahos,főnév|melléknév
előcsarnok,főnév
előcsatározás,főnév
